Year,Game,Genre,Developer(s),Award_Count
2006,The Elder Scrolls IV: Oblivion,Action role-playing,Bethesda Game Studios,2.0
2007,Gears of War,Third-person shooter,Epic Games,4.0
2008,Call of Duty 4: Modern Warfare,First-person shooter,Infinity Ward,3.0
2009,Fallout 3,Action role-playing,Bethesda Game Studios,6.0
2010,Mass Effect 2,Action role-playing,BioWare,7.0
2011,Portal 2,Puzzle-platformer,Valve,8.0
2012,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,11.0
2013,Grand Theft Auto V,Action-adventure,Rockstar North,4.0
2014,Dark Souls II,Action role-playing,FromSoftware,2.0
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red,10.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2019,Resident Evil 2,Survival horror,Capcom,4.0
2020,The Last of Us Part II,Action-adventure,Naughty Dog,7.0
2021,Resident Evil Village,Survival horror,Capcom,2.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,Baldur's Gate 3,Role-playing,Larian Studios,11.0
1997,Final Fantasy VII,Role-playing,Square,2.0
1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD,6.0
2004,Monster Hunter,Action role-playing,Capcom,2.0
2006,Final Fantasy XII,Role-playing,Square Enix,3.0
2007,Wii Sports,Sports,Nintendo EAD,2.0
2007,Monster Hunter Portable 2nd,Action role-playing,Capcom,2.0
2008,Wii Fit,Fitness,Nintendo EAD,2.0
2008,Monster Hunter Portable 2nd G,Action role-playing,Capcom,2.0
2009,Metal Gear Solid 4: Guns of the Patriots,Action-adventure,Kojima Productions,2.0
2011,Monster Hunter Portable 3rd,Action role-playing,Capcom,2.0
2013,Animal Crossing: New Leaf,Social simulation,Nintendo EAD,2.0
2014,Monster Hunter 4,Action role-playing,Capcom,2.0
2015,Yo-kai Watch 2,Role-playing,Level-5,2.0
2016,Splatoon,Third-person shooter,Nintendo EAD,2.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,Monster Hunter: World,Action role-playing,Capcom,2.0
2019,Super Smash Bros. Ultimate,Fighting,"Bandai Namco Studios,Sora Ltd.",2.0
2020,Animal Crossing: New Horizons,Social simulation,Nintendo EPD,3.0
2021,Ghost of Tsushima,Action-adventure,Sucker Punch Productions,2.0
2021,Monster Hunter Rise,Action role-playing,Capcom,2.0
