Name,Platform,Year,Genre,Publisher,NorthAmerica_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales,Multi_Platform
Sega Superstars Tennis,DS,2008,Sports,Sega,0.29,0.37,0.0,0.08,0.74,True
Assassin's Creed: Revelations,PC,2011,Action,Ubisoft,0.14,0.48,0.0,0.12,0.74,False
Final Fantasy X/X-2 HD Remaster,PS4,2015,Role-Playing,Square Enix,0.29,0.27,0.06,0.11,0.74,False
[Prototype 2],PS3,2012,Action,Activision,0.36,0.28,0.0,0.1,0.74,True
Midnight Club 3: DUB Edition,XB,2005,Racing,Take-Two Interactive,0.61,0.1,0.0,0.03,0.74,False
Resident Evil: Revelations,PS3,2013,Action,Capcom,0.14,0.29,0.22,0.09,0.74,True
Tom Clancy's Rainbow Six: Vegas,PSP,2007,Shooter,Ubisoft,0.42,0.19,0.0,0.13,0.74,False
The Lord of the Rings: The Two Towers,GBA,2002,Action,Electronic Arts,0.53,0.2,0.0,0.01,0.74,True
Tiger Woods PGA Tour 2001,PS2,2001,Sports,Electronic Arts,0.36,0.28,0.0,0.09,0.74,False
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS4,2015,Action,Square Enix,0.17,0.13,0.37,0.06,0.74,True
Red Faction: Guerrilla,PS3,2009,Shooter,THQ,0.33,0.27,0.02,0.12,0.74,True
The Elder Scrolls V: Skyrim,XONE,2016,Role-Playing,Bethesda Softworks,0.41,0.27,0.0,0.07,0.74,False
Jet Moto 3,PS,1999,Racing,Sony Computer Entertainment,0.41,0.28,0.0,0.05,0.74,False
Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,True
X-Men Origins: Wolverine - Uncaged Edition,PS3,2009,Action,Activision,0.31,0.31,0.0,0.12,0.74,True
Unreal Championship,XB,2002,Shooter,Atari,0.59,0.12,0.0,0.03,0.74,False
Lego Batman 3: Beyond Gotham,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.28,0.0,0.12,0.74,True
Crysis 2,PC,2011,Action,Electronic Arts,0.16,0.45,0.0,0.13,0.74,False
Tales of Vesperia,X360,2008,Role-Playing,Atari,0.32,0.17,0.19,0.05,0.74,True
MLB 13: The Show,PS3,2013,Sports,Sony Computer Entertainment,0.67,0.0,0.0,0.07,0.74,True
LEGO Marvel Super Heroes,WIIU,2013,Action,Warner Bros. Interactive Entertainment,0.31,0.35,0.02,0.06,0.74,True
Namco Museum Remix,WII,2007,Misc,Atari,0.68,0.0,0.0,0.05,0.74,False
NBA 2K16,PS3,2015,Sports,Take-Two Interactive,0.45,0.12,0.03,0.13,0.74,True
Sword of Mana,GBA,2003,Role-Playing,Nintendo,0.31,0.11,0.3,0.02,0.74,False
FIFA 17,PS3,2016,Sports,Electronic Arts,0.05,0.55,0.03,0.1,0.73,True
Marvel: Ultimate Alliance 2,PS3,2009,Role-Playing,Activision,0.49,0.15,0.0,0.09,0.73,True
Dragon Age: Inquisition,PC,2014,Role-Playing,Electronic Arts,0.33,0.34,0.0,0.06,0.73,True
Resonance of Fate,PS3,2010,Role-Playing,Sega,0.2,0.21,0.24,0.08,0.73,True
Madagascar: Escape 2 Africa,DS,2008,Action,Activision,0.41,0.25,0.0,0.07,0.73,True
Pirates of the Caribbean: At World's End,PS3,2007,Action,Disney Interactive Studios,0.17,0.41,0.0,0.15,0.73,True
FIFA: Road to World Cup 98,PS,1997,Sports,Electronic Arts,0.14,0.09,0.46,0.05,0.73,False
The Amazing Spider-Man (Console Version),X360,2012,Action,Activision,0.43,0.24,0.0,0.06,0.73,True
Dragon Ball Z: Ultime Menace,SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,0.73,0.0,0.73,False
The Walking Dead: Season One,X360,2012,Adventure,Avanquest Software,0.55,0.13,0.0,0.05,0.73,True
Tiger Woods PGA Tour 08,PS3,2007,Sports,Electronic Arts,0.22,0.37,0.0,0.14,0.73,True
Classic NES Series: Donkey Kong,GBA,2004,Platform,Nintendo,0.4,0.15,0.17,0.01,0.73,False
Harvest Moon: Animal Parade,WII,2008,Simulation,Rising Star Games,0.58,0.08,0.02,0.05,0.73,False
Split/Second,PS3,2010,Racing,Disney Interactive Studios,0.31,0.3,0.01,0.11,0.73,True
Yoshi,GB,1991,Puzzle,Nintendo,0.0,0.0,0.73,0.0,0.73,False
Mortal Kombat 4,N64,1998,Fighting,GT Interactive,0.55,0.17,0.0,0.01,0.73,False
WWE SmackDown vs. Raw 2010,WII,2009,Fighting,THQ,0.49,0.17,0.0,0.06,0.73,True
Style Savvy: Trendsetters,3DS,2012,Simulation,Nintendo,0.16,0.02,0.53,0.01,0.73,False
Croc 2,PS,1999,Platform,Fox Interactive,0.41,0.28,0.0,0.05,0.73,False
Final Fantasy XIII-2,X360,2011,Role-Playing,Square Enix,0.36,0.29,0.02,0.06,0.73,False
Practise English!,DS,2007,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73,False
Oddworld: Munch's Oddysee,XB,2001,Platform,Atari,0.54,0.16,0.0,0.03,0.73,True
Persona 4: Arena,PS3,2012,Fighting,Atlus,0.3,0.11,0.24,0.07,0.73,True
Berzerk,2600,1981,Shooter,Atari,0.68,0.04,0.0,0.01,0.73,False
Brink,PS3,2011,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.73,True
NHL 11,X360,2010,Sports,Electronic Arts,0.61,0.07,0.0,0.05,0.73,True
NCAA Football 07,X360,2006,Sports,Electronic Arts,0.67,0.0,0.0,0.06,0.73,True
Just Dance Wii,WII,2011,Misc,Nintendo,0.0,0.0,0.73,0.0,0.73,False
Full Spectrum Warrior,XB,2004,Strategy,THQ,0.54,0.16,0.0,0.03,0.73,True
LEGO Marvel's Avengers,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0.0,0.12,0.73,True
Katamari Damacy,PS2,2004,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73,False
Just Dance 2015,WIIU,2014,Misc,Ubisoft,0.38,0.29,0.0,0.06,0.73,True
Beyblade VForce: Ultimate Blader Jam,GBA,2003,Action,Atari,0.52,0.19,0.0,0.01,0.73,False
LEGO Dimensions,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0.0,0.12,0.73,True
Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012,Fighting,Namco Bandai Games,0.27,0.24,0.14,0.08,0.73,True
Shaun Palmer's Pro Snowboarder,PS2,2001,Sports,Codemasters,0.36,0.28,0.0,0.09,0.73,True
James Bond 007: Agent Under Fire,GC,2002,Shooter,Electronic Arts,0.56,0.15,0.0,0.02,0.72,True
Harvest Moon DS: Island of Happiness,DS,2007,Simulation,Rising Star Games,0.43,0.01,0.25,0.04,0.72,False
Star Wars Episode III: Revenge of the Sith,GBA,2005,Action,Ubisoft,0.52,0.19,0.0,0.01,0.72,True
Ultimate Spider-Man,PS2,2005,Action,Activision,0.6,0.02,0.0,0.1,0.72,True
Monopoly Streets,WII,2010,Misc,Electronic Arts,0.23,0.42,0.0,0.08,0.72,True
Imagine: Interior Designer,DS,2008,Simulation,Ubisoft,0.34,0.31,0.0,0.08,0.72,False
Ratchet & Clank Collection,PS3,2012,Action,Sony Computer Entertainment,0.47,0.13,0.02,0.1,0.72,True
SD Gundam G Generation,PS,1998,Strategy,Namco Bandai Games,0.0,0.0,0.67,0.05,0.72,False
Rabbids Go Home,DS,2009,Platform,Ubisoft,0.35,0.3,0.0,0.07,0.72,False
God Eater,PSP,2010,Action,Unknown,0.0,0.0,0.72,0.0,0.72,False
Area 51,PS,1996,Shooter,GT Interactive,0.4,0.27,0.0,0.05,0.72,True
Total War: Rome II,PC,2013,Strategy,Sega,0.12,0.53,0.0,0.07,0.72,False
NBA Live 08,PS2,2007,Sports,Electronic Arts,0.59,0.02,0.01,0.1,0.72,True
Star Ocean: The Last Hope International,PS3,2010,Role-Playing,Square Enix,0.28,0.15,0.22,0.07,0.72,False
Dead to Rights,XB,2002,Shooter,Electronic Arts,0.53,0.17,0.0,0.03,0.72,True
Indiana Jones and the Staff of Kings,WII,2009,Action,Activision,0.36,0.29,0.0,0.07,0.72,True
Tiger Woods PGA Tour 07,PS2,2006,Sports,Electronic Arts,0.6,0.02,0.0,0.1,0.72,True
My Little Pony: Pinkie Pie's Party,DS,2008,Adventure,THQ,0.66,0.0,0.0,0.06,0.72,False
Test Drive 6,PS,1999,Racing,Atari,0.4,0.27,0.0,0.05,0.72,False
Major League Baseball 2K7,X360,2007,Sports,Spike,0.67,0.0,0.0,0.06,0.72,True
Kouchuu Ouja Mushi King,GBA,2005,Action,Sega,0.0,0.0,0.7,0.02,0.72,False
Persona Q: Shadow of the Labyrinth,3DS,2014,Role-Playing,Nippon Ichi Software,0.34,0.07,0.27,0.04,0.72,False
MLB 14: The Show,PS4,2014,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.14,0.72,True
X-Men: Mutant Academy 2,PS,2001,Fighting,Activision,0.4,0.27,0.0,0.05,0.72,False
Kirby: Canvas Curse,DS,2005,Platform,Nintendo,0.36,0.0,0.32,0.03,0.72,False
Jampack Winter 2001,PS2,2001,Misc,Sony Computer Entertainment,0.35,0.28,0.0,0.09,0.72,False
Kangaroo,2600,1982,Platform,Atari,0.67,0.04,0.0,0.01,0.72,False
Madden NFL 10,WII,2009,Sports,Electronic Arts,0.62,0.04,0.0,0.06,0.72,True
MLB 09: The Show,PS3,2009,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.06,0.72,True
Borderlands: The Pre-Sequel,X360,2014,Shooter,Take-Two Interactive,0.46,0.19,0.01,0.07,0.72,True
Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,0.24,0.37,0.0,0.12,0.72,True
Super Monkey Ball Jr.,GBA,2002,Puzzle,Atari,0.51,0.19,0.0,0.01,0.72,False
The Witcher 3: Wild Hunt,PC,2015,Role-Playing,Namco Bandai Games,0.21,0.46,0.0,0.05,0.72,False
F1 2011,X360,2011,Racing,Codemasters,0.11,0.5,0.01,0.09,0.72,True
Mobile Suit Gundam: Encounters in Space,PS2,2003,Simulation,Namco Bandai Games,0.05,0.04,0.61,0.01,0.72,False
MLB 10: The Show,PS3,2010,Sports,Sony Computer Entertainment,0.66,0.0,0.0,0.06,0.72,True
MX vs. ATV Reflex,X360,2009,Racing,THQ,0.52,0.14,0.0,0.06,0.72,True
Blur,PS3,2010,Racing,Activision,0.22,0.36,0.02,0.12,0.72,True
Avatar: The Game,WII,2009,Action,Ubisoft,0.32,0.32,0.0,0.07,0.72,True
Fear Effect,PS,1998,Action,Eidos Interactive,0.4,0.27,0.0,0.05,0.72,False
Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.72,False
DiRT 3,X360,2011,Racing,Codemasters,0.23,0.4,0.01,0.08,0.72,True
The Lord of the Rings: The Two Towers,XB,2002,Action,Electronic Arts,0.45,0.24,0.0,0.03,0.71,True
Madden NFL 2003,XB,2002,Sports,Electronic Arts,0.67,0.02,0.0,0.03,0.71,True
Skate,X360,2007,Sports,Electronic Arts,0.62,0.03,0.0,0.06,0.71,True
iCarly,DS,2009,Adventure,Activision,0.66,0.01,0.0,0.05,0.71,True
XCOM: Enemy Unknown,PC,2012,Strategy,Take-Two Interactive,0.27,0.36,0.0,0.08,0.71,True
Ben 10: Protector of Earth,PSP,2007,Action,D3Publisher,0.23,0.3,0.0,0.18,0.71,True
Virtua Fighter 4: Evolution,PS2,2003,Fighting,Sega,0.35,0.27,0.0,0.09,0.71,False
Crysis,PC,2007,Shooter,Electronic Arts,0.0,0.69,0.0,0.02,0.71,False
Resident Evil: Survivor,PS,2000,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,False
The Sims 2: Castaway,DS,2007,Simulation,Electronic Arts,0.62,0.04,0.0,0.06,0.71,True
Super Trucks Racing,PS2,2002,Racing,Jester Interactive,0.35,0.27,0.0,0.09,0.71,False
Godzilla: Destroy All Monsters Melee,GC,2002,Fighting,Atari,0.55,0.14,0.0,0.02,0.71,False
Jeremy McGrath Supercross 2000,PS,2000,Racing,Acclaim Entertainment,0.4,0.27,0.0,0.05,0.71,True
Conker: Live And Reloaded,XB,2005,Adventure,Microsoft Game Studios,0.49,0.2,0.0,0.02,0.71,False
Silent Hill 3,PS2,2003,Action,Konami Digital Entertainment,0.35,0.27,0.0,0.09,0.71,False
Yu-Gi-Oh! The Falsebound Kingdom,GC,2002,Strategy,Konami Digital Entertainment,0.49,0.13,0.07,0.02,0.71,False
Spyro: Enter the Dragonfly,GC,2002,Platform,Universal Interactive,0.55,0.14,0.0,0.02,0.71,False
Scooby-Doo 2: Monsters Unleashed,GBA,2004,Action,THQ,0.51,0.19,0.0,0.01,0.71,False
Power Rangers: Dino Thunder,PS2,2004,Action,THQ,0.35,0.27,0.0,0.09,0.71,True
Madden NFL 08,PSP,2007,Sports,Electronic Arts,0.6,0.04,0.0,0.07,0.71,True
Blast Corps,N64,1997,Action,Nintendo,0.39,0.09,0.17,0.06,0.71,False
LEGO Racers,N64,1999,Racing,LEGO Media,0.51,0.18,0.0,0.01,0.71,True
WWF Attitude,N64,1999,Fighting,Acclaim Entertainment,0.57,0.13,0.0,0.01,0.71,False
Tactics Ogre: Let Us Cling Together,SNES,1995,Role-Playing,Quest,0.0,0.0,0.71,0.0,0.71,True
Madden NFL 09,PSP,2008,Sports,Electronic Arts,0.65,0.0,0.0,0.06,0.71,True
"WarioWare, Inc.: Mega Party Game$",GC,2003,Puzzle,Nintendo,0.2,0.05,0.44,0.02,0.71,False
NBA Live 09,X360,2008,Sports,Electronic Arts,0.5,0.14,0.0,0.07,0.71,True
Battle Arena Toshinden 2,PS,1995,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05,0.71,False
Dragon Ball: Xenoverse 2,PS4,2016,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,True
Dynasty Warriors 6,PS3,2007,Action,Tecmo Koei,0.18,0.07,0.41,0.04,0.71,True
Jeopardy!,PS,1997,Misc,Hasbro Interactive,0.39,0.27,0.0,0.05,0.71,True
South Park,PS,1998,Shooter,Acclaim Entertainment,0.39,0.27,0.0,0.05,0.71,False
NCAA Football 09,X360,2008,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.71,True
Doom 3: Resurrection of Evil,XB,2005,Shooter,Activision,0.53,0.15,0.0,0.03,0.71,False
SSX,X360,2012,Sports,Electronic Arts,0.38,0.26,0.0,0.06,0.7,True
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,WII,2007,Role-Playing,Square Enix,0.18,0.01,0.5,0.02,0.7,False
Two Worlds,X360,2007,Role-Playing,SouthPeak Games,0.41,0.22,0.0,0.07,0.7,False
Tony Hawk's Underground,GC,2003,Sports,Activision,0.54,0.14,0.0,0.02,0.7,True
Spider-Man 2,PSP,2005,Action,Activision,0.35,0.21,0.0,0.14,0.7,True
Super Bomberman 3,SNES,1994,Puzzle,Hudson Soft,0.0,0.0,0.7,0.0,0.7,False
NCAA Football 08,X360,2007,Sports,Electronic Arts,0.65,0.0,0.0,0.05,0.7,True
Command & Conquer: Red Alert Retaliation,PS,1998,Strategy,Virgin Interactive,0.39,0.27,0.0,0.05,0.7,False
Skylanders: Trap Team,WIIU,2014,Action,Activision,0.38,0.26,0.0,0.06,0.7,True
Star Wars: Obi-Wan,XB,2001,Action,Activision,0.52,0.16,0.0,0.02,0.7,False
Ace Attorney Investigations: Miles Edgeworth,DS,2009,Adventure,Capcom,0.23,0.14,0.3,0.04,0.7,False
Kill.Switch,PS2,2003,Shooter,Sony Computer Entertainment,0.34,0.27,0.0,0.09,0.7,True
Catherine,PS3,2011,Adventure,Deep Silver,0.3,0.14,0.2,0.06,0.7,True
Madden NFL 2005,GC,2004,Sports,Electronic Arts,0.54,0.14,0.0,0.02,0.7,True
F-14 Tomcat,GBA,2001,Action,Majesco Entertainment,0.5,0.19,0.0,0.01,0.7,False
SplashDown,PS2,2001,Racing,Atari,0.34,0.27,0.0,0.09,0.7,True
NCAA Football 98,PS,1997,Sports,Electronic Arts,0.39,0.27,0.0,0.05,0.7,False
Jade Empire,XB,2005,Role-Playing,Microsoft Game Studios,0.48,0.19,0.0,0.03,0.7,False
Infinite Undiscovery,X360,2008,Role-Playing,Square Enix,0.34,0.18,0.12,0.06,0.7,False
FIFA Soccer 11,DS,2010,Sports,Electronic Arts,0.13,0.49,0.0,0.08,0.7,True
Chocobo's Dungeon 2,PS,1998,Role-Playing,SquareSoft,0.04,0.03,0.58,0.05,0.7,False
Call of Duty: Ghosts,PC,2013,Shooter,Activision,0.23,0.41,0.0,0.05,0.7,True
Lego Star Wars: The Force Awakens,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7,True
NHL 12,X360,2011,Sports,Electronic Arts,0.55,0.1,0.0,0.05,0.7,True
Advance Wars,GBA,2001,Strategy,Nintendo,0.5,0.19,0.0,0.01,0.7,False
NASCAR 2001,PS2,2000,Racing,Electronic Arts,0.34,0.27,0.0,0.09,0.7,True
NCAA Football 2001,PS,2000,Sports,Electronic Arts,0.39,0.26,0.0,0.05,0.7,False
WWE SmackDown vs. Raw 2011,PSP,2010,Fighting,THQ,0.22,0.31,0.0,0.17,0.7,True
Mafia,PS2,2004,Action,Illusion Softworks,0.34,0.27,0.0,0.09,0.7,True
Hannah Montana: The Movie,DS,2009,Adventure,Disney Interactive Studios,0.38,0.25,0.0,0.07,0.7,True
Ape Escape: On the Loose,PSP,2005,Platform,Sony Computer Entertainment,0.52,0.0,0.12,0.05,0.7,False
Mobile Suit Gundam: Journey to Jaburo,PS2,2000,Simulation,Namco Bandai Games,0.16,0.13,0.36,0.04,0.7,False
MLB 08: The Show,PS3,2008,Sports,Sony Computer Entertainment,0.64,0.0,0.0,0.05,0.7,True
TimeSplitters 2,PS2,2002,Shooter,Eidos Interactive,0.34,0.27,0.0,0.09,0.7,True
Omerta: City of Gangsters,X360,2011,Simulation,Konami Digital Entertainment,0.42,0.22,0.0,0.06,0.7,False
Driver: San Francisco,X360,2011,Racing,Ubisoft,0.25,0.37,0.0,0.07,0.7,True
Classic NES Series: Zelda II: The Adventure of Link,GBA,2004,Adventure,Nintendo,0.37,0.14,0.17,0.01,0.7,False
Fire Emblem: Monsh? no Nazo,SNES,1994,Role-Playing,Nintendo,0.0,0.0,0.7,0.0,0.7,False
Disney's Chicken Little,GBA,2005,Platform,Disney Interactive Studios,0.5,0.18,0.0,0.01,0.7,True
James Bond 007: Blood Stone,PS3,2010,Shooter,Activision,0.18,0.36,0.02,0.13,0.7,True
King Kong,2600,1981,Action,Tigervision,0.65,0.04,0.0,0.01,0.69,False
Minecraft: Story Mode,PS4,2015,Adventure,Mojang,0.25,0.33,0.0,0.11,0.69,True
Moto Racer 2,PS,1997,Racing,Electronic Arts,0.39,0.26,0.0,0.05,0.69,False
Metal Gear Solid: Portable Ops Plus,PSP,2007,Action,Konami Digital Entertainment,0.26,0.0,0.26,0.17,0.69,False
LEGO Rock Band,WII,2009,Misc,Warner Bros. Interactive Entertainment,0.41,0.22,0.0,0.06,0.69,True
Monster Hunter Tri,WIIU,2012,Role-Playing,Nintendo,0.24,0.19,0.22,0.04,0.69,False
Halo 2 Multiplayer Map Pack,XB,2005,Shooter,Microsoft Game Studios,0.54,0.13,0.0,0.02,0.69,False
Mortal Kombat: Shaolin Monks,PS2,2005,Action,Midway Games,0.58,0.02,0.0,0.09,0.69,True
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS3,2009,Shooter,Activision,0.28,0.3,0.0,0.12,0.69,True
Minecraft: Story Mode,PS3,2015,Adventure,Mojang,0.27,0.31,0.0,0.11,0.69,True
FIFA Soccer 13,WII,2012,Action,Electronic Arts,0.18,0.44,0.0,0.07,0.69,True
The LEGO Movie Videogame,3DS,2014,Action,Warner Bros. Interactive Entertainment,0.28,0.31,0.05,0.05,0.69,True
MotionSports,X360,2010,Sports,Ubisoft,0.38,0.25,0.0,0.06,0.69,False
MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,THQ,0.64,0.0,0.0,0.05,0.69,False
Mario Pinball Land,GBA,2004,Misc,Nintendo,0.5,0.18,0.0,0.01,0.69,False
Mappy,NES,1984,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,False
J-League Soccer: Prime Goal,SNES,1993,Sports,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69,False
Dragon Ball Z: Budokai,GC,2003,Fighting,Atari,0.53,0.14,0.0,0.02,0.69,False
NFL Xtreme,PS,1998,Sports,Sony Computer Entertainment,0.38,0.26,0.0,0.05,0.69,False
Need for Speed (2015),XONE,2015,Racing,Electronic Arts,0.3,0.33,0.0,0.06,0.69,True
Plants vs. Zombies: Garden Warfare,XONE,2014,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.69,True
Need for Speed Rivals,XONE,2013,Racing,Electronic Arts,0.46,0.17,0.0,0.07,0.69,True
The Sims 2: Apartment Pets,DS,2008,Simulation,Electronic Arts,0.31,0.3,0.0,0.07,0.69,False
Harry Potter and the Chamber of Secrets,GC,2002,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,True
Prince of Persia: The Forgotten Sands,PS3,2010,Action,Ubisoft,0.19,0.36,0.01,0.12,0.69,True
X-Men Origins: Wolverine - Uncaged Edition,X360,2009,Action,Activision,0.42,0.21,0.0,0.06,0.69,True
The Lord of the Rings: The Return of the King,GC,2003,Action,Electronic Arts,0.53,0.14,0.0,0.02,0.69,True
The Sims: Medieval,PC,2011,Simulation,Electronic Arts,0.28,0.32,0.0,0.09,0.69,False
LEGO Batman 2: DC Super Heroes,DS,2012,Action,Warner Bros. Interactive Entertainment,0.39,0.24,0.0,0.06,0.69,True
Top Spin 4,PS3,2011,Sports,Take-Two Interactive,0.17,0.39,0.0,0.13,0.69,True
Shrek the Third,X360,2007,Action,Activision,0.54,0.09,0.0,0.06,0.68,True
Baldur's Gate: Dark Alliance II,PS2,2004,Role-Playing,Interplay,0.34,0.26,0.0,0.09,0.68,True
Shark Tale,GBA,2004,Action,Activision,0.49,0.18,0.0,0.01,0.68,True
IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,0.34,0.25,0.0,0.1,0.68,True
Star Wars: Masters of Teras Kasi,PS,1997,Action,LucasArts,0.38,0.26,0.0,0.04,0.68,False
World of Zoo,DS,2009,Simulation,THQ,0.42,0.2,0.0,0.06,0.68,True
NBA Street Vol. 2,XB,2003,Sports,Electronic Arts,0.62,0.04,0.0,0.02,0.68,False
Minecraft,WIIU,2016,Misc,Microsoft Game Studios,0.28,0.17,0.18,0.04,0.68,False
MX vs. ATV Untamed,X360,2007,Racing,THQ,0.55,0.08,0.0,0.06,0.68,True
The Last Remnant,X360,2008,Role-Playing,Square Enix,0.25,0.2,0.18,0.06,0.68,True
NCAA Football 2005,XB,2004,Sports,Electronic Arts,0.63,0.02,0.0,0.03,0.68,True
Mortal Kombat Mythologies: Sub-Zero,PS,1997,Fighting,GT Interactive,0.38,0.26,0.0,0.04,0.68,True
The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment,0.52,0.08,0.01,0.08,0.68,False
Naruto: Clash of Ninja,GC,2003,Fighting,Tomy Corporation,0.53,0.14,0.0,0.02,0.68,False
Sniper Elite 3,PS4,2014,Shooter,505 Games,0.24,0.34,0.0,0.11,0.68,True
Prince of Persia: The Two Thrones,PS2,2005,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,True
Hot Shots Golf: Open Tee 2,PSP,2007,Sports,Sony Computer Entertainment,0.21,0.11,0.28,0.08,0.68,False
Mercenaries: Playground of Destruction,XB,2005,Action,LucasArts,0.54,0.11,0.0,0.03,0.68,True
Bushido Blade 2,PS,1998,Fighting,SquareSoft,0.25,0.17,0.22,0.04,0.68,False
Suikoden II,PS,1998,Role-Playing,Konami Digital Entertainment,0.15,0.1,0.38,0.04,0.68,False
Iron Man,PS3,2008,Action,Sega,0.32,0.25,0.0,0.11,0.68,True
FIFA Soccer 06,XB,2005,Sports,Electronic Arts,0.29,0.38,0.0,0.01,0.68,True
Fight Night 2004,XB,2004,Fighting,Electronic Arts,0.51,0.15,0.0,0.02,0.68,False
Tourist Trophy: The Real Riding Simulator,PS2,2006,Racing,Sony Computer Entertainment,0.28,0.22,0.11,0.07,0.68,False
.hack//Mutation Part 2,PS2,2002,Role-Playing,Atari,0.23,0.18,0.2,0.06,0.68,False
Wolfenstein: The New Order,XONE,2014,Shooter,Bethesda Softworks,0.34,0.28,0.0,0.06,0.68,True
Cars: Mater-National Championship,DS,2007,Racing,THQ,0.63,0.0,0.0,0.05,0.68,True
LEGO Harry Potter: Years 1-4,PSP,2010,Action,Warner Bros. Interactive Entertainment,0.14,0.36,0.0,0.18,0.68,True
Midway Arcade Treasures 2,PS2,2004,Misc,Midway Games,0.33,0.26,0.0,0.09,0.68,True
Kirby's Dream Collection: Special Edition,WII,2012,Action,Nintendo,0.33,0.0,0.33,0.02,0.67,False
Return to Castle Wolfenstein: Tides of War,XB,2003,Shooter,Activision,0.49,0.16,0.0,0.02,0.67,False
RIFT,PC,2011,Role-Playing,Unknown,0.44,0.16,0.0,0.07,0.67,False
Spider-Man 3,PS3,2007,Platform,Activision,0.26,0.29,0.02,0.11,0.67,True
Street Sk8er,PS,1998,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67,False
Mass Effect,PC,2008,Role-Playing,Electronic Arts,0.0,0.59,0.0,0.08,0.67,False
Contra: Legacy of War,PS,1996,Shooter,Konami Digital Entertainment,0.37,0.25,0.0,0.04,0.67,False
Fight Night Round 2004,XB,2004,Fighting,Electronic Arts,0.46,0.18,0.0,0.03,0.67,False
Book of Spells,PS3,2012,Action,Sony Computer Entertainment,0.14,0.39,0.0,0.15,0.67,False
Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,DS,2006,Misc,Rocket Company,0.0,0.0,0.67,0.0,0.67,False
Spice World,PS,1998,Action,Sony Computer Entertainment,0.37,0.25,0.0,0.04,0.67,False
The Evil Within,XONE,2014,Action,Bethesda Softworks,0.35,0.25,0.0,0.06,0.67,True
Armored Core 3,PS2,2002,Simulation,Metro 3D,0.22,0.17,0.23,0.06,0.67,False
Star Wars: Republic Commando,XB,2005,Shooter,Activision,0.48,0.17,0.0,0.02,0.67,True
Taiko no Tatsujin Wii,WII,2008,Misc,Namco Bandai Games,0.0,0.0,0.67,0.0,0.67,False
London 2012: The Official Video Game of the Olympic Games,PS3,2012,Sports,Sega,0.06,0.48,0.0,0.14,0.67,True
The LEGO Movie Videogame,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.24,0.31,0.01,0.11,0.67,True
Turok,PS3,2008,Action,Touchstone,0.35,0.21,0.01,0.1,0.67,True
Wild ARMs 2,PS,1999,Role-Playing,Sony Computer Entertainment,0.19,0.13,0.31,0.04,0.67,False
Terraria,X360,2013,Action,505 Games,0.35,0.27,0.0,0.06,0.67,True
Red Steel,WII,2006,Shooter,Ubisoft,0.54,0.03,0.04,0.05,0.67,False
Summer Sports: Paradise Island (Others sales),WII,2008,Sports,Ubisoft,0.0,0.66,0.0,0.01,0.67,False
Need for Speed: Shift 2 Unleashed,PS3,2011,Racing,Electronic Arts,0.2,0.35,0.0,0.12,0.67,True
The Fairly Odd Parents: Breakin Da Rules,PS2,2003,Platform,THQ,0.33,0.25,0.0,0.09,0.67,True
Virtua Tennis: World Tour (US & Others sales),PSP,2005,Sports,Sega,0.16,0.36,0.0,0.14,0.67,False
Unreal Tournament III,PS3,2007,Shooter,Midway Games,0.33,0.23,0.0,0.1,0.67,True
