Name,Platform,Year,Genre,Publisher,NorthAmerica_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales,Multi_Platform
Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.4,0.0,0.11,1.06,True
Skylanders Giants,PS3,2012,Action,Activision,0.36,0.49,0.0,0.2,1.06,True
Diablo II: Lord of Destruction,PC,2001,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06,False
Endless Ocean,WII,2007,Adventure,Nintendo,0.43,0.46,0.09,0.09,1.06,False
Spider-Man 2,GBA,2004,Action,Activision,0.76,0.28,0.0,0.02,1.06,True
Seek and Destroy,PS2,2002,Racing,Play It,0.52,0.4,0.0,0.14,1.06,False
Darksiders,X360,2010,Action,THQ,0.67,0.28,0.01,0.1,1.06,True
Mercenaries 2: World in Flames,X360,2008,Shooter,Electronic Arts,0.65,0.3,0.01,0.1,1.06,True
LEGO Marvel Super Heroes,XONE,2013,Action,Warner Bros. Interactive Entertainment,0.61,0.35,0.0,0.09,1.06,True
Warhawk,PS3,2007,Simulation,Sony Computer Entertainment,0.49,0.39,0.0,0.17,1.06,True
DiRT 3,PS3,2011,Racing,Codemasters,0.27,0.57,0.01,0.2,1.06,True
Sega Superstars Tennis,WII,2008,Sports,Sega,0.28,0.65,0.0,0.13,1.05,True
DiRT,PS3,2007,Racing,Codemasters,0.16,0.66,0.0,0.23,1.05,True
Call of Duty 4: Modern Warfare,DS,2007,Shooter,Activision,0.95,0.01,0.01,0.08,1.05,False
Cosmic Ark,2600,1981,Shooter,Imagic,0.99,0.05,0.0,0.01,1.05,False
Resident Evil: The Darkside Chronicles,WII,2009,Action,Capcom,0.46,0.31,0.2,0.09,1.05,False
SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13,1.05,False
Defender,2600,1980,Misc,Atari,0.99,0.05,0.0,0.01,1.05,True
